--- y2[i][j][t] nonzero ---
y2[2][1][34] = 0.10000000
y2[2][1][35] = 0.09132047
y2[2][1][36] = 0.03208426
y2[2][1][37] = 0.03208426
y2[2][1][38] = 0.03208426
y2[2][1][39] = 0.03208426
y2[2][1][40] = 0.03208426
y2[2][1][41] = 0.03208426
y2[2][1][42] = 0.01460186
y2[2][1][43] = 0.01460186
y2[2][1][44] = 0.01460186
y2[2][1][45] = 0.01460186
y2[2][1][46] = 0.01460186
y2[2][1][47] = 0.01460186
y2[3][1][23] = 0.10000000
y2[3][1][24] = 0.10000000
y2[3][2][23] = 0.10000000
y2[3][2][24] = 0.05490290
y2[3][3][23] = 0.10000000
y2[4][1][21] = 0.10000000
y2[4][1][22] = 0.10000000
y2[4][2][21] = 0.10000000
y2[4][2][22] = 0.10000000
y2[4][3][21] = 0.10000000
y2[4][3][22] = 0.10000000
y2[5][1][19] = 0.10000000
y2[5][1][20] = 0.10000000
y2[5][1][33] = 0.10000000
y2[5][2][19] = 0.10000000
y2[5][2][20] = 0.10000000
y2[5][2][33] = 0.10000000
y2[5][3][19] = 0.10000000
y2[5][3][20] = 0.10000000
y2[5][3][33] = 0.10000000
y2[6][1][18] = 0.10000000
y2[6][2][18] = 0.10000000
y2[6][3][18] = 0.10000000
y2[7][1][32] = 0.10000000
y2[7][2][32] = 0.10000000
y2[7][3][32] = 0.10000000
y2[8][1][13] = 0.10000000
y2[8][2][13] = 0.10000000
y2[9][1][25] = 0.10000000
y2[9][1][26] = 0.10000000
y2[9][1][27] = 0.10000000
y2[9][1][28] = 0.10000000
y2[9][1][29] = 0.10000000
y2[9][2][25] = 0.05490290
y2[9][2][26] = 0.05490290
y2[9][2][27] = 0.05490290
y2[9][2][28] = 0.05490290
y2[9][2][29] = 0.05490290
y2[10][1][12] = 0.10000000
y2[10][1][30] = 0.07049783
y2[10][1][31] = 0.10000000
y2[10][2][12] = 0.10000000
y2[10][2][31] = 0.10000000
y2[10][3][12] = 0.10000000
y2[10][3][31] = 0.10000000
